"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","poly","weight","prediction","model","piotweight"
-1100,1727.343866171,-1100,"-1100–-1000","商",-1600,-1046,405.432620817844,1299.01579925651,22.8954460966543,1321.91124535316,5.80818360748211,7863.68663833025,0,1
-1000,1745.64622057001,-1000,"-1000–-900","战国燕",-1030,-223,406.73373605948,1314.80266418835,24.1098203221809,1338.91248451053,5.73443247010524,9598.63564281483,1734.94900448458,0.993872059550564
-900,3563.64622057001,-900,"-900–-800","战国燕",-1030,-223,797.733736059479,2712.80266418835,53.1098203221809,2765.91248451053,2.77590244405914,11698.6326167392,2099.99697392441,0.5892832351884
-800,2411.24622056999,-800,"-800–-700","战国燕",-1030,-223,458.200402726146,1923.60266418834,29.4431536555143,1953.04581784385,3.93124582928773,14231.9998144629,2533.36719772369,1.05064641516569
-700,2260.29622057004,-700,"-700–-600","战国燕",-1030,-223,213.517069392813,2024.25266418838,22.5264869888476,2046.77915117723,3.75121234813754,17275.8690813594,3043.8692668965,1.34666829913508
-600,664.896220570012,-600,"-600–-500","战国燕",-1030,-223,88.9837360594796,564.052664188351,11.8598203221809,575.912484510532,13.3317186765485,20915.4393556795,3639.57027432006,5.47389225825329
-500,7154.57605292961,-500,"-500–-400","战国燕",-1030,-223,825.303875477536,6171.92023114565,157.351946306433,6329.27217745209,1.21307837782026,25242.171009331,4326.7316536515,0.604750249580451
-400,13639.6107465425,-400,"-400–-300","战国燕",-1030,-223,1470.06418523758,11859.7302634058,309.816297898707,12169.5465613045,0.630911200111589,30350.5425823786,5108.37157304763,0.374524732998157
-300,7753.56921742182,-300,"-300–-200","战国燕",-1030,-223,855.218431596867,6759.092685719,139.258100106081,6898.35078582508,1.11300562470428,36333.0077299593,5982.46514758067,0.771575642110529
-200,5494.74396739536,-200,"-200–-100","汉代",-206,220,441.812613639442,4947.36189461178,105.569459144075,5052.93135375586,1.51949486115608,43272.9007827193,6939.89305276,1.26300571854482
-100,11452.7795836743,-100,"-100–0","汉代",-206,220,790.606447936164,10178.104639985,484.068495752938,10662.173135738,0.720106785742516,51235.2959363447,7962.39515362539,0.695236915672034
0,4325.66997080402,0,"0–100","汉代",-206,220,218.895816196768,4032.86750856607,73.9066460419551,4106.77415460803,1.86957035784192,60256.2597173716,9020.96378102696,2.08544892280588
100,11891.764513517,100,"100–200","东汉",25,220,1532.05767549597,9981.25692830638,378.449909714699,10359.7068380211,0.741131322136247,70331.5327326682,10075.2730152966,0.847247942375951
200,9043.5920102583,200,"200–300","东汉",25,220,198.834423077027,8623.50368746788,221.253899714128,8844.75758718201,0.868073901418558,81406.3328158329,11074.8000831646,1.22460191377522
300,4366.06937925089,300,"300–400","晋",265,420,101.608281665953,4057.93436684174,206.526730743333,4264.46109758507,1.80043927007668,93368.4803577436,11962.1475419108,2.73979786000633
400,17183.0227579985,400,"400–500","北魏",386,534,358.720019458448,16233.4626768804,590.840061660537,16824.302738541,0.456357885680339,106047.127790643,12678.6474328992,0.737858967625322
500,17170.8448178916,500,"500–600","南朝齐",479,502,661.356401432485,16002.9073150965,506.581101362133,16509.4884164586,0.465060032880985,119218.783555514,13171.6557648712,0.767094217236572
600,13551.2702871287,600,"600–700","隋",581,618,169.747430863024,12636.5792955994,744.943560666231,13381.5228562656,0.57376901779243,132621.006302083,13402.222746569,0.989001212624233
700,13374.7884159288,700,"700–800","唐",618,907,258.7740419033,12017.7317602772,1098.28261374825,13116.0143740254,0.585383867908195,145972.377762035,13351.3714599517,0.998249171856119
800,12513.2340407999,800,"800–900","唐",618,907,252.097600861384,11348.6922907812,912.444149157079,12261.1364399382,0.626198335155722,158995.706654228,13023.3288921934,1.04076442986124
900,6122.54355852732,900,"900–1000","唐",618,907,154.885051647919,5098.42424041863,869.23426646073,5967.65850687936,1.2865855539414,171440.503477689,12444.7968234605,2.03261874815537
1000,16306.9910379068,1000,"1000–1100","宋",960,1279,359.118719479286,14700.7816361894,1247.09068223803,15947.8723184274,0.4814374652934,183100.975250146,11660.4717724571,0.715059678720095
1100,9320.13316918433,1100,"1100–1200","宋",960,1279,211.082120037971,7947.51405896774,1161.53699017841,9109.05104914615,0.842887276005131,193827.031864744,10726.0566145981,1.15084799968978
1200,8152.16723693677,1200,"1200–1300","金",1115,1234,192.467592931159,6556.81223246111,1402.88741154436,7959.69964400547,0.964597104061431,203527.567622861,9700.53575811663,1.18993336080795
1300,9304.41552445781,1300,"1300–1400","元",1234,1367,184.263570969505,7626.71011519144,1493.44183829682,9120.15195348826,0.841861326978203,212166.938879181,8639.37125632053,0.928523799653065
1400,2412.04732605735,1400,"1400–1500","明",1368,1644,49.491863505449,2034.05850742116,328.496955130765,2362.55546255192,3.24982983362988,219756.626936607,7589.68805742598,3.14657510051092
1500,8035.7677845895,1500,"1500–1600","明",1368,1644,172.575866271198,6890.00730638846,973.184611929755,7863.19191831822,0.976435944278546,226344.406108536,6587.77917192891,0.819807061194892
1600,9043.19961795469,1600,"1600–1700","明",1368,1644,225.421183664915,7928.78784614456,888.990588143148,8817.77843428771,0.870729887694972,232003.069150764,5658.663042228,0.625736827814029
1700,8848.21210836846,1700,"1700–1800","清",1644,1911,174.368960675591,7508.05794646001,1165.78520123238,8673.84314769238,0.88517893338308,236820.170779896,4817.10162913246,0.544415252497908
1800,7957.58948029569,1800,"1800–1900","清",1644,1911,135.327340211125,6960.25147314511,862.01066693952,7822.26214008463,0.981545119341068,240889.596961613,4069.4261817169,0.511389308507743
1900,3635.32242516165,1900,"1900–2000","清",1644,1911,47.2991846487049,3057.91997233103,530.10326818192,3588.02324051295,2.13986998164171,244305.222778641,3415.62581702802,0.939566128546668
