"X","count","century","centurylabel","dynasty","dynstart","dynend","X1","X2","X3","X4","poly","weight","prediction","model","piotweight"
-1100,2224.57667286245,-1100,"-1100–-1000","商",-1600,-1046,613.047397769517,1484.00185873606,25.1454460966543,102.381970260223,1611.52927509294,5.16473958053163,12022.9534670643,0,1
-1000,2240.79724287485,-1000,"-1000–-900","战国燕",-1030,-223,613.741325898389,1496.8395291202,26.3598203221809,103.856567534077,1627.05591697646,5.1154535903872,14636.2883979278,2613.3349308635,1.16625229666505
-900,6677.79724287485,-900,"-900–-800","战国燕",-1030,-223,2578.74132589839,3713.8395291202,63.3598203221809,321.856567534077,4099.05591697646,2.03049902241813,17779.0190969062,3142.73069897848,0.470623857639845
-800,3774.66390954144,-800,"-800–-700","战国燕",-1030,-223,808.141325898392,2805.10619578681,37.5598203221809,123.856567534077,2966.52258364307,2.80568537659223,21540.3802961547,3761.36119924849,0.99647578947113
-700,4613.68057620767,-700,"-700–-600","战国燕",-1030,-223,558.841325898393,3936.32286245311,38.1598203221809,80.3565675340769,4054.83925030937,2.05264093554952,26016.4985846542,4476.11828849946,0.970183829279902
-600,848.547242874849,-600,"-600–-500","战国燕",-1030,-223,82.2413258983891,694.589529120202,13.3598203221809,58.3565675340769,766.305916976459,10.8613660000144,31307.1212461796,5290.62266152542,6.23491821575068
-500,8958.49541266001,-500,"-500–-400","战国燕",-1030,-223,935.867564150865,7275.71513237136,173.001863050711,573.910853087092,8022.62784850917,1.03745670239517,37510.4650882617,6203.34384208209,0.692453761076399
-400,20043.9084246958,-400,"-400–-300","战国燕",-1030,-223,1750.63430151303,16807.7515405534,374.230282640677,1111.29229998828,18293.2741231824,0.454983015955048,44715.8992081924,7205.43411993066,0.359482490503346
-300,9919.33139747483,-300,"-300–-200","战国燕",-1030,-223,722.664294868058,8525.16246123498,153.597954488377,517.90668688135,9196.6671026047,0.90501579968037,52994.4327977513,8278.53358955898,0.834585846347109
-200,6692.19541914293,-200,"-200–-100","汉代",-206,220,329.664658471057,5963.16388504428,121.496539933241,277.87033569432,6362.53076067184,1.30814755092502,62387.4252518978,9392.99245414649,1.40357414358791
-100,14051.0888038576,-100,"-100–0","汉代",-206,220,593.770631496106,12150.0726840171,532.41561507775,774.829873266575,13457.3181723614,0.61848348427638,72894.5601812886,10507.1349293908,0.747780835781646
0,7141.54773674975,0,"0–100","汉代",-206,220,169.815479014546,6526.08936710269,166.820239355208,278.82265127746,6971.73225773536,1.19383945403571,84462.8278469602,11568.2676656716,1.61985441981187
100,17700.9539557495,100,"100–200","东汉",25,220,1365.7583317767,15177.7439807717,464.315926327195,693.135716865281,16335.1956239641,0.50952123401863,96978.8294746887,12516.0016277285,0.70708062735021
200,12054.4395502312,200,"200–300","东汉",25,220,100.642702006791,11109.8121122703,290.914075741339,553.070660213789,11953.7968482254,0.696274927366995,110266.85471287,13288.0252381813,1.10233455340746
300,3407.94251613938,300,"300–400","晋",265,420,26.1315839836689,3014.58717118564,194.34665227777,172.877108692373,3381.81093215578,2.46114558123811,124094.617309365,13827.7625964947,4.05751051580506
400,18664.6118435774,400,"400–500","北魏",386,534,154.205356127516,17007.2754082646,628.219084442084,874.91199474369,18510.4064874504,0.449645934998826,138187.186175775,14092.5688664102,0.75504216131125
500,17019.1316347044,500,"500–600","南朝齐",479,502,183.118096357227,15552.4953178297,568.992776383327,714.525444133868,16836.0135383469,0.494364596066676,152247.779710437,14060.5935346624,0.826163980422529
600,12091.1122975193,600,"600–700","隋",581,618,95.7210049798934,10356.2752840311,754.593216284947,884.522792223352,11995.3912925394,0.693860569386723,165982.287152852,13734.5074424146,1.13591761489408
700,10216.5568206994,700,"700–800","唐",618,907,67.413448397117,8500.54028014207,1016.06659316929,632.536498990884,10149.1433723022,0.820081924842285,179123.327011214,13141.0398583625,1.28624937823845
800,10169.2921147289,800,"800–900","唐",618,907,75.4484610770111,8649.53393782054,873.314822597051,570.994893233709,10093.8436536513,0.824574792105798,191449.78606876,12326.4590575454,1.21212557555428
900,8276.24889918186,900,"900–1000","唐",618,907,85.2304670618058,6505.42992482074,1049.88604748471,635.702459816986,8191.01843212243,1.01612871479051,202799.046540573,11349.2604718131,1.37130487616619
1000,13171.8872965345,1000,"1000–1100","宋",960,1279,143.396340838539,11020.3750873599,1085.55880392861,922.557064407383,13028.4909556959,0.63884060407005,213070.986168412,10271.9396278391,0.779838104942001
1100,7596.8813294657,1100,"1100–1200","宋",960,1279,65.6303575675926,5659.26443927473,1071.13621417074,800.85031845253,7531.250971898,1.10514562100171,222224.634294918,9153.64812650648,1.20492182640824
1200,8047.66076459209,1200,"1200–1300","金",1115,1234,71.6827691910307,5398.83461461872,1386.1381979806,1191.00518280148,7975.9779954008,1.04352457304387,230269.557225153,8044.92293023478,0.999659797494279
1300,10102.3114823026,1300,"1300–1400","元",1234,1367,103.348674584621,7142.31243623454,1465.95105664356,1390.69931483985,9998.96280771795,0.832399239032425,237254.446275868,6984.88905071502,0.691414936368896
1400,2018.67666802769,1400,"1400–1500","明",1368,1644,19.4783365641672,1401.27500979459,293.483290299223,304.440031369682,1999.19833146349,4.16323328269541,243255.126049422,6000.67977355365,2.97258093313998
1500,6686.38123615359,1500,"1500–1600","明",1368,1644,55.2538264391732,4922.49446719838,899.984941436661,808.648001079041,6631.12740971409,1.25516047543668,248363.57980583,5108.45375640815,0.764008747928774
1600,8146.3615269407,1600,"1600–1700","明",1368,1644,91.3933136384033,6139.22702319999,843.675396466847,1072.0657936355,8054.96821330233,1.03329135657081,252678.888695267,4315.30888943651,0.529722241661559
1700,7498.83580666755,1700,"1700–1800","清",1644,1911,64.0600317804922,5155.88225954272,1073.2962301174,1205.59728522693,7434.77577488706,1.11948622046835,256300.390526364,3621.501831097,0.482941875841176
1800,6602.51936618225,1800,"1800–1900","清",1644,1911,41.1993267503843,4595.56043236798,782.724006591166,1183.03560047305,6561.3200394322,1.26851441207526,259322.959249687,3022.56872332384,0.45779020941692
1900,3954.56480878959,1900,"1900–2000","清",1644,1911,29.7166141027423,2839.42623860802,560.895625403947,524.526330674877,3924.84819468684,2.12062444695954,261834.085585388,2511.12633570054,0.634994356425566
