filename,zhengshi,hydcd_name,observation,label,author,characters,juan,year,part
shiji-gutenberg-24226-0.txt,史記,史记,1,史記,［西汉］司馬遷,625880,130,-91,0
漢書 wx100.txt,漢書,汉书,2,漢書,［东汉］班固,1578581,100,110,0
三國志 wx100.txt,三國志,三国志,4,三國志,［西晋］陈寿,827115,65,290,0
後漢書 wx100.txt,後漢書,後汉书,3,後漢書,［刘宋］范曄,1365781,120,445,0
宋書 wx100.txt,宋書,宋书,6,,［梁］沈約,973241,100,510,0
南齊書 wx100.txt,南齊書,南齐书,7,,［梁］蕭子顯,344641,59,510,0
魏書 wx100.txt,魏書,魏书,10,魏書,［北齐］魏收,1196318,114,554,0
梁書 wx100.txt,梁書,梁书,8,,［唐］姚思廉,353322,56,635,0
陳書 wx100.txt,陳書,陈书,9,,［唐］姚思廉,195556,36,636,0
北齊書 wx100.txt,北齊書,北齐书,11,,［唐］李百藥,256293,50,636,0
周書 wx100.txt,周書,周书,12,,［唐］令狐德棻等,314494,50,636,0
隋書 wx100.txt,隋書,隋书,13,,［唐］魏徵等,841719,85,636,0
晉書 wx100.txt,晉書,晋书,5,,［唐］房玄龄等,1394600,130,648,0
南史 wx100.txt,南史,南史,14,,［唐］李延壽,808907,80,659,0
北史 wx100.txt,北史,北史,15,北史,［唐］李延壽,1329574,100,659,0
舊唐書 wx100.txt,舊唐書,旧唐书,16,,［后晋］劉昫等,2374257,200,945,0
舊五代史 wx100.txt,舊五代史,旧五代史,18,,［北宋］薛居正等,870839,150,974,0
新五代史 wx100.txt,新五代史,新五代史,19,新五代史,［北宋］欧阳修,356593,74,1039,0
新唐書 wx100.txt,新唐書,新唐书,17,,［北宋］欧阳修、宋祁,2267035,225,1060,0
宋史 wx100.txt,宋史,宋史,20,宋史,［元］脱脱等,4795103,496,1343,0
金史 wx100.txt,金史,金史,22,,［元］脱脱等,1132538,135,1343,0
遼史 wx100.txt,辽史,辽史,21,辽史,［元］脱脱等,378456,116,1344,0
元史 wx100.txt,元史,元史,23,,［明］宋濂等,1926548,210,1369,0
明史 wx100.txt,明史,明史,24,明史,［清］张廷玉等,2477451,332,1739,0
清史稿 wx100.txt,清史稿,清史稿,25,清史稿,［民國］赵尔巽等,1666973,529,1928,0